,Horodateur,Age,Gender,Origin,Residence,Percentage of lifetime in a city,Image1 ID,Image2 ID,Winner,Person ID
0,21/11/2021 11:25:45,22,Male,Europe,Lausanne,0.9072848,139,116,116,22139116.0
1,21/11/2021 11:25:56,22,Male,Europe,Lausanne,0.9072848,10,184,10,22139116.0
2,21/11/2021 11:25:58,22,Male,Europe,Lausanne,0.9072848,183,13,13,22139116.0
3,21/11/2021 11:26:05,22,Male,Europe,Lausanne,0.9072848,17,339,17,22139116.0
4,21/11/2021 11:26:10,22,Male,Europe,Lausanne,0.9072848,281,137,281,22139116.0
5,21/11/2021 11:26:14,22,Male,Europe,Lausanne,0.9072848,427,75,75,22139116.0
6,21/11/2021 11:26:20,22,Male,Europe,Lausanne,0.9072848,114,131,114,22139116.0
7,21/11/2021 11:26:22,22,Male,Europe,Lausanne,0.9072848,310,271,271,22139116.0
8,21/11/2021 11:26:25,22,Male,Europe,Lausanne,0.9072848,431,342,342,22139116.0
9,21/11/2021 11:26:31,22,Male,Europe,Lausanne,0.9072848,419,253,253,22139116.0
10,21/11/2021 11:26:34,22,Male,Europe,Lausanne,0.9072848,237,410,237,22139116.0
11,21/11/2021 11:26:39,22,Male,Europe,Lausanne,0.9072848,212,433,433,22139116.0
12,21/11/2021 11:26:43,22,Male,Europe,Lausanne,0.9072848,246,222,246,22139116.0
13,21/11/2021 11:26:56,22,Male,Europe,Lausanne,0.9072848,129,181,181,22139116.0
14,21/11/2021 11:27:01,22,Male,Europe,Lausanne,0.9072848,74,456,456,22139116.0
15,21/11/2021 11:27:04,22,Male,Europe,Lausanne,0.9072848,341,307,307,22139116.0
16,21/11/2021 11:27:08,22,Male,Europe,Lausanne,0.9072848,291,297,291,22139116.0
17,21/11/2021 11:27:18,22,Male,Europe,Lausanne,0.9072848,170,3,3,22139116.0
18,21/11/2021 11:27:20,22,Male,Europe,Lausanne,0.9072848,189,319,319,22139116.0
19,21/11/2021 11:27:24,22,Male,Europe,Lausanne,0.9072848,197,268,268,22139116.0
20,21/11/2021 11:27:32,22,Male,Europe,Lausanne,0.9072848,175,323,323,22139116.0
21,21/11/2021 11:27:35,22,Male,Europe,Lausanne,0.9072848,27,228,228,22139116.0
22,21/11/2021 11:27:44,22,Male,Europe,Lausanne,0.9072848,369,156,156,22139116.0
23,21/11/2021 11:27:57,22,Male,Europe,Lausanne,0.9072848,347,318,318,22139116.0
24,21/11/2021 11:27:59,22,Male,Europe,Lausanne,0.9072848,88,262,262,22139116.0
25,21/11/2021 11:28:07,22,Male,Europe,Lausanne,0.9072848,369,223,223,22139116.0
26,21/11/2021 11:28:09,22,Male,Europe,Lausanne,0.9072848,156,221,156,22139116.0
27,21/11/2021 11:28:14,22,Male,Europe,Lausanne,0.9072848,91,5,5,22139116.0
28,21/11/2021 11:28:20,22,Male,Europe,Lausanne,0.9072848,94,309,309,22139116.0
29,21/11/2021 11:28:21,22,Male,Europe,Lausanne,0.9072848,258,100,100,22139116.0
30,21/11/2021 11:28:26,22,Male,Europe,Lausanne,0.9072848,55,51,51,22139116.0
31,21/11/2021 11:28:28,22,Male,Europe,Lausanne,0.9072848,15,171,15,22139116.0
32,21/11/2021 11:28:32,22,Male,Europe,Lausanne,0.9072848,401,453,453,22139116.0
33,21/11/2021 11:28:36,22,Male,Europe,Lausanne,0.9072848,383,233,383,22139116.0
34,21/11/2021 11:28:46,22,Male,Europe,Lausanne,0.9072848,133,337,133,22139116.0
35,21/11/2021 11:28:48,22,Male,Europe,Lausanne,0.9072848,357,228,228,22139116.0
36,21/11/2021 11:28:52,22,Male,Europe,Lausanne,0.9072848,242,314,242,22139116.0
37,21/11/2021 11:28:58,22,Male,Europe,Lausanne,0.9072848,424,6,424,22139116.0
38,21/11/2021 11:29:00,22,Male,Europe,Lausanne,0.9072848,106,300,106,22139116.0
39,21/11/2021 11:29:08,22,Male,Europe,Lausanne,0.9072848,82,406,406,22139116.0
40,21/11/2021 11:29:10,22,Male,Europe,Lausanne,0.9072848,444,282,282,22139116.0
41,21/11/2021 11:29:14,22,Male,Europe,Lausanne,0.9072848,360,205,205,22139116.0
42,21/11/2021 11:29:19,22,Male,Europe,Lausanne,0.9072848,418,245,418,22139116.0
43,21/11/2021 11:29:23,22,Male,Europe,Lausanne,0.9072848,85,269,269,22139116.0
44,21/11/2021 11:29:26,22,Male,Europe,Lausanne,0.9072848,168,159,159,22139116.0
45,21/11/2021 11:29:32,22,Male,Europe,Lausanne,0.9072848,449,201,449,22139116.0
46,21/11/2021 11:29:46,22,Male,Europe,Lausanne,0.9072848,298,353,353,22139116.0
47,21/11/2021 11:29:50,22,Male,Europe,Lausanne,0.9072848,287,268,287,22139116.0
48,21/11/2021 11:29:52,22,Male,Europe,Lausanne,0.9072848,177,339,177,22139116.0
49,21/11/2021 11:29:57,22,Male,Europe,Lausanne,0.9072848,137,178,137,22139116.0
50,21/11/2021 11:34:35,21,Female,NE,Lausanne,0.865894,31,299,31,2131299.0
51,21/11/2021 11:34:37,21,Female,NE,Lausanne,0.865894,455,44,44,2131299.0
52,21/11/2021 11:34:38,21,Female,NE,Lausanne,0.865894,203,418,418,2131299.0
53,21/11/2021 11:34:40,21,Female,NE,Lausanne,0.865894,384,285,285,2131299.0
54,21/11/2021 11:34:43,21,Female,NE,Lausanne,0.865894,267,350,267,2131299.0
55,21/11/2021 11:34:46,21,Female,NE,Lausanne,0.865894,377,409,377,2131299.0
56,21/11/2021 11:34:48,21,Female,NE,Lausanne,0.865894,392,87,392,2131299.0
57,21/11/2021 11:34:49,22,Male,Europe,Lausanne,0.9072848,310,125,310,22139116.0
58,21/11/2021 11:34:50,21,Female,NE,Lausanne,0.865894,74,236,236,2131299.0
59,21/11/2021 11:34:53,21,Female,NE,Lausanne,0.865894,344,226,226,2131299.0
60,21/11/2021 11:34:54,22,Male,Europe,Lausanne,0.9072848,118,47,118,22139116.0
61,21/11/2021 11:34:57,22,Male,Europe,Lausanne,0.9072848,284,253,284,22139116.0
62,21/11/2021 11:34:59,21,Female,NE,Lausanne,0.865894,451,235,235,2131299.0
63,21/11/2021 11:35:00,22,Male,Europe,Lausanne,0.9072848,259,36,36,22139116.0
64,21/11/2021 11:35:04,21,Female,NE,Lausanne,0.865894,402,128,402,2131299.0
65,21/11/2021 11:35:07,21,Female,NE,Lausanne,0.865894,132,272,132,2131299.0
66,21/11/2021 11:35:10,21,Female,NE,Lausanne,0.865894,45,303,45,2131299.0
67,21/11/2021 11:35:13,22,Male,Europe,Lausanne,0.9072848,293,129,129,22139116.0
68,21/11/2021 11:35:18,21,Female,NE,Lausanne,0.865894,317,401,401,2131299.0
69,21/11/2021 11:35:19,22,Male,Europe,Lausanne,0.9072848,291,405,291,22139116.0
70,21/11/2021 11:35:20,22,Male,Europe,Lausanne,0.9072848,401,174,174,22139116.0
71,21/11/2021 11:35:22,21,Female,NE,Lausanne,0.865894,406,442,442,2131299.0
72,21/11/2021 11:35:24,22,Male,Europe,Lausanne,0.9072848,59,145,59,22139116.0
73,21/11/2021 11:35:25,21,Female,NE,Lausanne,0.865894,193,202,193,2131299.0
74,21/11/2021 11:35:27,22,Male,Europe,Lausanne,0.9072848,243,446,243,22139116.0
75,21/11/2021 11:35:28,21,Female,NE,Lausanne,0.865894,323,198,323,2131299.0
76,21/11/2021 11:35:31,21,Female,NE,Lausanne,0.865894,314,195,195,2131299.0
77,21/11/2021 11:35:34,22,Male,Europe,Lausanne,0.9072848,208,159,159,22139116.0
78,21/11/2021 11:35:34,21,Female,NE,Lausanne,0.865894,424,100,100,2131299.0
79,21/11/2021 11:35:37,21,Female,NE,Lausanne,0.865894,182,78,78,2131299.0
80,21/11/2021 11:35:39,22,Male,Europe,Lausanne,0.9072848,454,170,454,22139116.0
81,21/11/2021 11:35:42,21,Female,NE,Lausanne,0.865894,399,119,399,2131299.0
82,21/11/2021 11:35:42,22,Male,Europe,Lausanne,0.9072848,113,363,113,22139116.0
83,21/11/2021 11:35:44,21,Female,NE,Lausanne,0.865894,123,437,123,2131299.0
84,21/11/2021 11:35:47,21,Female,NE,Lausanne,0.865894,23,200,200,2131299.0
85,21/11/2021 11:35:50,21,Female,NE,Lausanne,0.865894,316,136,316,2131299.0
