Image number,Object,Reliability,Size of box
0,car,98.17158579826356,300
0,car,90.36934971809389,1056
0,fire hydrant,72.2534716129303,697
1,truck,61.80180311203003,4982
1,car,99.5491862297058,8181
1,car,99.7929334640503,10275
1,car,81.70775771141052,510
1,car,86.06141805648804,288
1,car,95.33925652503969,324
1,car,98.12984466552734,195
1,car,81.66725635528564,121
1,car,94.31251287460329,132
1,car,79.72123622894287,88
1,car,87.44986653327942,506
1,car,98.36211204528809,783
1,person,89.27784562110901,884
2,car,91.18014574050903,168
2,car,86.72177791595459,462
3,car,97.89365530014038,18600
3,car,98.81259202957152,23712
3,car,62.44378685951233,288
4,car,99.29569959640504,19038
4,car,89.04492855072021,221
4,car,94.73822712898254,255
4,car,99.41909909248352,1617
5,car,99.81175065040588,5472
5,car,98.91050457954408,8265
5,car,91.49211645126344,1908
5,car,77.66551971435547,252
5,car,65.94131588935852,169
6,motorbike,75.75353980064392,3465
6,motorbike,80.64776062965393,3157
6,motorbike,79.74300384521484,2898
6,motorbike,87.8474235534668,2997
6,car,93.94765496253969,176
6,car,93.92319321632384,255
6,car,99.23676252365112,2835
6,motorbike,71.97717428207397,1599
7,car,97.02590703964232,440
7,car,99.59327578544617,1728
8,car,99.73902702331544,8712
9,car,94.08698081970216,6468
9,traffic light,96.98190093040466,738
9,traffic light,97.810697555542,798
9,car,87.24885582923889,110
9,car,75.2342700958252,64
9,car,84.93964076042175,90
9,car,98.91298413276672,1410
10,car,98.59593510627748,11319
10,car,91.63276553153992,5270
10,person,71.13049030303955,198
10,person,64.46955800056458,144
10,car,90.05078077316284,624
10,car,66.02230668067932,280
10,car,61.44231557846069,210
10,person,69.04935240745544,119
10,person,98.65899085998537,286
10,person,75.8146584033966,540
10,person,75.96648335456848,560
10,person,92.43329763412476,540
10,car,99.52523708343506,1760
10,car,98.3193337917328,800
10,person,97.63100147247314,645
11,car,91.86246991157532,15946
11,car,99.92313385009766,5170
11,bus,89.60851430892944,1540
11,person,73.85303378105164,117
11,car,86.7862343788147,252
11,car,79.48923110961914,384
11,person,63.6385440826416,171
11,person,65.4871940612793,160
11,person,88.33683133125305,490
11,person,79.78646755218506,230
11,person,82.0127785205841,275
11,car,96.20293974876404,986
11,car,96.06216549873352,1440
11,car,85.94805598258972,532
11,person,70.89447975158691,189
11,person,94.13714408874512,812
12,car,99.94987845420836,7290
12,person,62.50108480453491,133
12,car,69.46325302124023,170
12,car,81.44288063049316,140
12,car,66.74392819404602,204
12,person,69.79466676712036,160
12,person,60.350483655929565,187
12,person,71.67024612426758,135
12,car,98.379784822464,868
12,person,94.46284770965576,975
13,car,99.58824515342712,10368
13,car,67.80874729156494,49
13,car,96.92801237106325,224
13,car,71.38031721115112,144
13,car,66.67966842651367,182
13,motorbike,83.90454649925232,208
13,car,66.15490317344666,195
13,car,90.09183645248412,306
13,car,96.18926644325256,1188
13,car,98.0548083782196,1102
14,car,99.68659281730652,10209
14,car,95.92271447181702,252
14,car,86.30082607269287,169
14,car,79.41169738769531,270
14,car,94.72402930259705,224
14,car,99.09048676490784,1295
14,car,95.62125205993652,1107
15,car,99.88131523132324,8236
15,person,99.74719285964966,3724
15,car,93.0002212524414,918
15,car,99.15732741355896,858
15,person,63.87094855308533,144
15,person,62.33988404273987,180
15,person,60.66291332244873,176
15,person,90.6302571296692,779
16,car,99.1439700126648,9280
16,car,90.63867926597597,513
16,car,62.79895305633545,112
16,car,89.8772656917572,162
16,car,99.2462396621704,486
16,car,83.57570767402649,884
17,car,99.2266297340393,37575
17,car,99.28526282310486,66470
18,car,68.99914145469666,99
18,car,95.92795372009276,195
19,car,99.88647103309631,22072
19,car,68.56048703193665,121
19,person,65.3319001197815,140
19,car,76.21757388114929,702
19,car,91.94908142089844,300
19,car,99.67014193534852,3268
19,person,71.96568846702576,578
19,person,94.55978274345398,800
20,car,99.57119822502136,3564
20,car,94.45906281471252,270
20,car,87.0559811592102,357
21,car,99.67350363731384,16480
21,car,99.65841174125671,8908
21,car,66.2560522556305,1288
21,car,98.79780411720276,2590
22,truck,70.58991193771362,18055
22,car,99.24471378326416,7663
22,car,93.37864518165588,380
22,car,71.73832654953003,957
22,car,87.58519291877747,1634
22,car,90.70634841918944,2208
23,car,99.34771656990053,24300
23,car,64.26678895950317,340
23,car,81.62392973899841,432
23,car,63.4488582611084,1435
24,car,99.68539476394652,4686
24,car,99.82094168663023,3818
24,car,97.76687026023863,5146
24,car,72.48082756996155,208
24,car,70.67604660987854,99
24,car,88.67419958114624,99
24,car,84.65060591697693,121
24,car,69.62633728981018,192
24,car,63.350147008895874,130
24,car,82.09507465362549,221
24,car,68.1274950504303,156
24,car,81.58745765686035,210
24,car,75.94619393348694,264
24,car,98.55904579162598,1147
24,person,95.86238861083984,308
24,person,75.85706114768982,256
24,car,99.04430508613586,1240
24,person,82.54841566085815,882
24,person,91.81987643241882,666
25,person,67.85888671875,133
25,car,69.8083758354187,132
25,car,79.78291511535645,99
25,car,90.3651475906372,144
25,person,78.43904495239258,171
25,person,68.06745529174805,184
25,person,94.88019347190856,874
25,car,99.39448833465576,1978
25,pottedplant,73.52825999259949,1856
26,car,66.57373309135437,260
26,car,66.7503833770752,378
27,car,64.4955575466156,242
27,car,88.9589250087738,861
27,car,86.03101968765259,2242
27,car,86.09229326248169,1040
28,fire hydrant,88.14094662666321,1971
29,car,99.58245158195496,14916
29,car,98.88476133346558,5192
29,car,95.30578851699828,9828
29,car,99.64308142662048,19436
29,car,97.40836024284364,2945
29,car,95.87632417678832,918
29,person,62.043607234954834,120
29,car,82.24036693572998,2064
29,car,88.59971165657043,2124
29,car,88.00882697105408,2124
30,car,98.25023412704468,3420
30,car,99.89657998085022,8480
30,car,77.3991048336029,308
30,car,78.71377468109131,418
30,car,89.14205431938171,285
30,car,71.94924354553223,364
30,motorbike,67.7672266960144,352
31,car,99.91106390953064,4032
31,car,99.08427596092224,6392
31,car,76.76717638969421,90
31,car,65.47345519065857,100
31,car,85.79267263412476,121
31,person,72.19056487083435,352
31,car,85.65847277641296,289
31,car,69.84973549842834,221
31,car,73.89936447143555,132
31,car,99.41171407699584,759
31,car,88.82827758789062,2905
32,car,92.38077402114868,4560
32,car,94.53797936439514,10584
32,car,99.97502565383913,8541
32,truck,96.75435423851012,3074
32,car,68.16452741622925,378
33,car,72.87648916244507,255
33,car,68.27649474143982,90
33,car,96.8363344669342,238
33,car,81.43969178199768,143
33,person,64.21116590499878,84
33,person,66.666579246521,140
33,person,74.55258965492249,152
33,car,97.05625772476196,780
33,person,87.16098666191101,270
33,car,96.7585802078247,2904
34,car,99.91148114204408,5046
34,car,89.60099816322327,26187
34,car,87.97317743301392,340
34,car,85.07341742515564,792
34,car,98.76898527145386,1026
35,person,83.1825852394104,2760
35,car,99.64438676834106,4158
35,car,98.80661964416504,8832
35,motorbike,80.85567355155945,1892
36,car,99.44950342178343,18748
36,car,99.27416443824768,2640
36,car,64.81587290763855,66
36,car,98.04874062538148,1404
37,car,78.5448670387268,221
37,car,90.85581302642822,294
38,car,99.40018653869627,5696
38,car,97.56292700767516,10260
39,car,97.92081117630003,19795
39,car,97.0014214515686,3196
39,car,74.53312873840332,390
39,car,88.332599401474,729
39,car,95.89160084724426,1408
40,car,97.3664939403534,6431
40,car,98.43505024909972,6930
40,car,61.952584981918335,140
40,car,83.09776782989502,208
40,car,94.15884613990784,238
40,car,95.97371816635132,690
41,car,99.93988871574402,4032
41,car,81.0375452041626,108
41,car,97.86730408668518,340
42,car,78.43117117881775,374
42,car,72.08198308944702,260
42,person,87.67672777175903,288
42,person,65.07580280303955,252
42,person,76.32224559783936,176
42,person,77.80035734176636,253
42,person,60.22428870201111,624
42,car,99.28075671195984,1677
43,truck,82.30459094047546,5700
43,traffic light,89.18976783752441,171
43,car,81.94727897644043,120
43,car,90.23755192756651,289
43,car,93.11327338218688,532
44,person,99.75370168685912,5880
44,car,94.26983594894408,812
44,person,87.5944197177887,980
44,person,63.88837695121765,833
45,person,99.64025616645812,3600
45,person,99.56514835357666,3800
45,car,84.43787097930908,529
48,car,99.61076378822328,15300
48,car,84.1977596282959,234
48,car,63.482099771499634,234
48,car,97.67345786094666,1365
51,car,80.6131362915039,950
51,car,98.84995818138124,1380
52,car,67.66396164894104,90
52,car,67.61781573295593,72
52,car,94.1132664680481,364
52,car,88.56425285339355,121
52,car,64.75140452384949,760
52,car,75.6727933883667,1050
52,car,94.30668354034424,2046
53,car,97.73498773574828,18632
53,car,97.84203767776488,43245
53,car,99.83537793159483,4332
53,car,97.54980206489564,6486
53,car,79.35432195663452,110
53,car,96.5103268623352,182
53,car,60.01477241516113,90
53,car,89.92096185684204,234
53,car,89.65025544166565,1248
53,car,96.94122672080994,650
54,car,99.89524483680724,10960
54,car,75.73075890541077,255
54,car,90.4271960258484,1044
54,car,93.23387742042542,1763
56,car,99.69148635864258,30975
56,car,81.2315046787262,13629
56,car,88.62057328224182,247
56,car,87.82185316085815,208
56,car,99.25755858421326,1247
57,person,99.12520051002502,3069
57,car,89.67458009719849,110
57,person,82.61551260948181,176
57,person,68.02418828010559,1386
58,car,97.87218570709229,14140
58,car,96.86322808265686,22425
58,car,94.95835900306702,168
58,car,88.00196051597595,81
58,car,81.52250051498413,132
58,car,98.56764674186708,408
58,car,79.8625111579895,990
59,car,98.1057107448578,65238
59,motorbike,75.26575326919556,5780
59,person,76.3879120349884,160
59,person,80.85176348686218,286
59,motorbike,88.20333480834961,2891
60,person,98.7192451953888,5355
60,person,98.2445478439331,5040
60,bus,98.65468144416808,2320
60,person,69.73800659179688,962
60,handbag,77.04848051071167,855
60,handbag,65.36881923675537,1148
61,car,99.93616938591003,10584
61,car,90.28146266937256,210
62,car,99.93361234664916,10455
62,car,96.14580273628236,1554
63,car,99.85117316246031,8700
63,person,99.76516366004944,3366
63,car,97.08953499794006,918
63,car,98.5538899898529,696
63,car,66.6441798210144,272
63,person,80.00843524932861,216
63,person,89.6451473236084,680
64,car,99.3539810180664,3248
64,car,99.9545395374298,4300
64,car,98.33038449287416,196
64,car,98.67404103279114,1599
64,person,87.59446740150452,1144
65,car,97.77436256408691,18432
65,motorbike,69.17288303375244,228
66,traffic light,88.9000654220581,2560
66,traffic light,70.11147141456604,1512
66,car,98.63901138305664,513
66,car,72.90623784065247,208
66,car,97.8464663028717,700
66,car,69.62486505508423,209
66,car,99.21682476997375,3337
67,bus,99.60129857063292,49452
67,car,99.7364580631256,9180
67,car,99.87930059432983,5494
67,car,92.01063513755798,459
67,car,83.83591771125793,208
67,car,62.57714033126831,192
67,person,91.31150245666504,322
67,car,97.65729308128356,1400
67,car,98.42182397842409,2457
67,car,96.69812321662904,1334
68,car,94.88581418991087,825
68,car,88.34882974624634,352
69,car,99.0572154521942,25754
69,car,97.05922603607178,5185
69,car,89.74894881248474,252
69,car,95.63153386116028,900
69,car,93.14565658569336,832
70,car,87.13522553443909,154
70,car,83.0660879611969,195
70,car,79.51005697250366,504
70,car,63.23903799057007,864
71,car,97.60870337486269,272
71,car,97.33538031578064,285
71,car,87.39001750946045,308
71,car,98.31149578094482,1530
72,car,99.75248575210573,24108
72,car,95.62947750091551,3344
72,car,66.0271406173706,168
72,car,99.43424463272096,1550
72,car,82.25041031837463,620
72,car,98.5149383544922,1320
72,car,94.62080597877502,1537
72,car,99.51670169830322,2257
73,car,76.05165839195251,154
78,car,94.0825879573822,204
79,car,66.8204128742218,220
79,car,86.28889322280884,351
79,car,99.36696887016296,1344
80,bus,68.87006759643555,65886
80,truck,64.8928701877594,783
80,car,84.86331105232239,90
81,car,66.040700674057,731
82,car,60.08163094520569,450
82,car,73.78561496734619,560
83,car,95.02800107002258,13578
83,car,96.68163657188416,3404
83,car,77.36466526985168,5184
83,car,81.19456768035889,8510
83,person,98.11304807662964,3400
83,person,95.2415406703949,4998
83,car,68.08428764343262,289
83,car,92.1750783920288,432
83,car,73.65663051605225,130
83,car,86.66486144065857,216
83,car,90.45265913009644,2405
83,car,95.58128118515016,1595
83,car,76.08650922775269,748
83,car,91.8830394744873,2500
84,car,99.11827445030212,23800
84,car,99.28128719329834,1664
84,car,60.21229028701782,528
84,car,96.1694836616516,1080
85,truck,91.92770719528198,2800
85,car,72.88103103637695,99
85,car,78.01395654678345,270
85,car,76.42912864685059,182
85,car,88.73433470726013,221
85,car,98.06941747665404,952
86,car,86.57544255256653,108
86,car,60.73676943778992,42
86,car,87.67393231391907,90
86,car,96.78154587745668,266
86,person,87.71853446960449,330
86,person,82.67772793769836,300
86,person,69.78989839553833,704
86,motorbike,86.04809641838074,660
87,car,70.43326497077942,99
87,car,93.87916326522829,418
88,car,99.96758103370668,8772
88,car,97.58710265159608,483
88,car,95.76770067214966,224
88,car,86.54561638832092,306
88,car,75.62645673751831,340
88,car,98.22092056274414,380
88,car,95.01926302909852,576
88,car,99.56170320510864,1820
89,car,94.89097595214844,6875
89,traffic light,69.71184015274048,324
89,traffic light,80.6414783000946,300
89,traffic light,66.97847843170166,345
89,car,81.56145811080933,90
89,car,87.35811710357666,132
89,car,98.41193556785583,480
89,car,80.7031512260437,130
90,car,99.83943700790404,7828
90,car,99.96665120124815,8556
90,car,98.55409860610962,8019
90,car,94.2900538444519,18700
90,car,67.83885359764099,156
90,car,60.120689868927,300
90,car,64.07572031021118,1927
91,car,93.79206895828248,11993
91,car,69.88273859024048,80
91,car,69.43833231925964,108
91,car,63.56222033500672,140
91,person,96.37529253959656,680
91,person,87.84648180007935,966
91,motorbike,67.11404323577881,728
91,motorbike,66.3755714893341,1935
92,traffic light,83.61266851425171,836
92,traffic light,84.2140257358551,817
92,person,79.60832715034485,200
92,car,90.732741355896,240
92,truck,66.60003066062927,2052
94,bus,99.86991286277772,8938
