,Image number,Object,Reliability,Size of box
0,0,car,87.14159727096558,3234
1,0,traffic light,90.06967544555664,180
2,0,traffic light,83.75437259674072,162
3,0,car,73.29826951026917,168
4,0,car,87.38209009170532,294
5,0,car,76.97142958641052,225
6,1,traffic light,97.66630530357361,1128
7,1,traffic light,76.67447328567505,363
8,1,traffic light,73.80421757698059,408
9,1,car,81.18664622306824,144
10,1,car,97.42165803909302,2106
11,2,truck,76.65988802909851,5040
12,2,traffic light,97.75547385215759,60
13,2,car,95.84881067276001,240
14,2,car,93.03539991378784,775
15,3,car,96.97960615158081,11997
16,3,car,99.54782724380493,9675
17,3,car,70.5479085445404,48
18,3,car,63.094621896743774,448
19,4,traffic light,87.42812275886536,372
20,4,car,96.58939838409424,1938
21,5,car,99.77224469184875,8690
22,5,car,94.40168142318726,117
23,5,car,67.07192063331604,64
24,6,car,99.73029494285583,2024
25,6,person,92.39624738693237,1375
26,6,bicycle,87.0856523513794,1150
27,7,car,97.4887490272522,4225
28,7,car,91.19424223899841,187
29,9,car,74.9576210975647,435
30,9,car,61.5026593208313,81
31,10,bus,96.25991582870483,2773
32,10,traffic light,63.6249840259552,119
33,10,truck,89.92875218391418,1710
34,11,car,97.36530780792236,10275
35,11,car,85.68750023841858,196
36,12,car,74.70767498016357,126
37,12,car,90.51733613014221,56
38,12,car,99.0506649017334,1316
39,12,person,97.18117117881775,1501
40,13,car,98.00824522972107,26130
41,13,car,98.63665103912354,3648
42,13,bicycle,75.43227076530457,2928
43,13,bicycle,70.86918950080872,4209
44,13,bicycle,60.314685106277466,3185
45,13,bicycle,91.92498326301575,8181
46,13,car,80.44735193252563,442
47,13,car,67.8276777267456,408
48,14,car,99.70122575759888,32064
49,14,car,99.76714253425598,4698
50,14,car,84.42025780677795,238
51,14,car,74.83677268028259,132
52,14,car,87.91160583496094,280
53,14,car,71.39532566070557,2250
54,15,car,94.3061351776123,4004
55,15,car,89.763343334198,11696
56,15,car,83.04468393325806,110
57,15,car,87.30887174606323,132
58,15,car,93.1483268737793,270
59,15,car,80.58605194091797,204
60,15,bicycle,67.9393470287323,1216
61,16,car,98.92878532409668,21771
62,16,car,94.09769177436829,2961
63,16,car,91.41327142715454,23058
64,16,bicycle,89.11229372024536,6750
65,16,bicycle,72.92051315307617,4080
66,16,car,97.78230786323547,812
67,16,car,97.7617859840393,2623
68,17,car,99.72209334373474,8100
69,17,car,98.17675352096558,238
70,17,car,96.20056748390198,600
71,17,car,98.00605177879333,936
72,18,car,80.5041253566742,13843
73,18,car,99.57028031349182,3634
74,18,car,99.76139664649963,10496
75,18,car,91.24460220336914,170
76,18,car,72.59151935577393,425
77,18,car,91.05830192565918,624
78,18,car,82.81646370887756,2173
79,19,truck,99.58451390266418,51216
80,19,car,88.87180685997009,285
81,19,car,97.84085154533386,1456
82,19,car,96.87621593475342,798
